filename,react_1_tokens,react_2_tokens,react_3_tokens,average_tokens
10times,1973,1838,1995,1935.3
3lbarberco,1481,1338,1497,1438.7
abc,991,1043,1191,1075.0
accenture,1489,1603,1786,1626.0
adobe,1253,1176,1153,1194.0
airbnb,1887,1914,1917,1906.0
airtable,1610,1453,1447,1503.3
aliabdaal,818,917,891,875.3
aliexpress,1721,1518,1759,1666.0
aljazeera,2048,2048,2048,2048.0
allinclusivevacations,1460,1373,1488,1440.3
allrecipes,1590,1593,1537,1573.3
allrecipes_mobile,1538,1469,1771,1592.7
amazon,1470,1416,1464,1450.0
amnesty,1405,2048,2048,1833.7
apple,2391,2362,2347,2366.7
arxiv_article,1298,1047,1984,1443.0
arxiv_org,1388,1253,1404,1348.3
asos,951,977,988,972.0
atlassian,1001,2048,2048,1699.0
awwwards,1924,1822,1897,1881.0
bain,1248,1228,1105,1193.7
bbc,1567,1399,1559,1508.3
bbc_mobile,1444,1399,1543,1462.0
bbc_search,1325,1360,1216,1300.3
bbs,1092,975,985,1017.3
bcg,1646,1480,1548,1558.0
behance,1308,1327,1327,1320.7
behance_article,951,864,982,932.3
ben-evans,1207,1124,1299,1210.0
bestbuy,1538,1443,1591,1524.0
bestbuy_country,916,887,887,896.7
bizzabo,2240,2077,1882,2066.3
bookbub,857,934,1200,997.0
brainpickings,1278,1139,1220,1212.3
britannica,1034,988,1121,1047.7
britannica_1,995,853,939,929.0
business_standard,435,538,652,541.7
buzzfeed,3678,,,3678.0
calendly,2310,1977,2008,2098.3
cambridge,1823,1535,1753,1703.7
carbonmade,965,950,989,968.0
cargocollective,938,823,854,871.7
champlaintours,1866,1935,1871,1890.7
charitywater,1747,2048,2048,1947.7
cisco,999,1014,161,724.7
cnn_mobile,1257,1255,1248,1253.3
cnn_search,1003,900,1013,972.0
codecademy,1354,1342,1328,1341.3
codepen,1554,1580,1600,1578.0
community,1077,991,1066,1044.7
conferencemonkey,1705,1579,2048,1777.3
copyblogger,1050,1003,1727,1260.0
coroflot,1587,1583,1608,1592.7
coursera,801,857,618,758.7
craigmod,1419,1422,1275,1372.0
crevado,1804,1663,2048,1838.3
curlytales,1438,1333,1384,1385.0
daringfireball,1175,1105,1074,1118.0
dell,1019,1062,1062,1047.7
deloitte,1584,1578,204,1122.0
designerhangout,1690,1606,1786,1694.0
designspiration,2793,2742,2971,2835.3
dev,1177,1235,1130,1180.7
dev_search,1233,1085,1086,1134.7
deviantart,1445,1361,1920,1575.3
deviantart_login,1007,1029,1029,1021.7
dictionary,1169,99,537,601.7
discord,1556,1584,1588,1576.0
doctorswithoutborders,1115,126,556,599.0
dopplepress,1623,1505,2048,1725.3
dribbble,1469,1516,1532,1505.7
drift,1040,2048,2048,1712.0
dropbox,1094,1161,1098,1117.7
duolingo,794,930,1076,933.3
ebay,1060,1092,1175,1109.0
ebay_mobile,1230,1249,1210,1229.7
ecosia,1312,1312,1194,1272.7
eiosys,1872,1791,1859,1840.7
elfontheshelf,1452,1355,1440,1415.7
en_wikipedia_org,1225,1121,1385,1243.7
encyclopedia,1508,1543,1700,1583.7
espn_mobile,1274,1261,1330,1288.3
etsy,1596,1894,1904,1798.0
eventbee,1657,1633,1705,1665.0
eventbrite,1388,1321,1348,1352.3
evernote,4171,4099,4325,4198.3
expedia,1232,1089,111,810.7
explaintheasterisk,1628,2048,2048,1908.0
exploratorium,3017,2960,3072,3016.3
ey,1954,1860,1976,1930.0
fabiacupuncture,1896,1917,2061,1958.0
factmonster,1064,1046,1131,1080.3
feedingamerica,1104,1050,2048,1400.7
figma,1101,1077,153,777.0
fiverr_com,1498,1411,1437,1448.7
fobes_mobile,1650,1692,1755,1699.0
foodnetwork,2556,2495,2607,2552.7
forbesindia,697,783,845,775.0
format,1949,1882,379,1403.3
forum,1604,1592,1608,1601.3
fs,1397,1472,1418,1429.0
gayandsober,1526,1511,1467,1501.3
github,1293,1331,1362,1328.7
glitch,1905,1840,1845,1863.3
goldstar,1487,1406,1396,1429.7
goodreads,1501,1328,1351,1393.3
goodreads_1,1385,1377,1405,1389.0
grailed,1762,1605,2048,1805.0
greenpeace,963,831,894,896.0
habitat,1938,2001,1923,1954.0
healthline,1816,1776,1852,1814.7
heroinesinc,2177,2107,2142,2142.0
history,2084,2082,2079,2081.7
home,2547,2464,2048,2353.0
homesweethome,1805,2000,1923,1909.3
hopin,2318,2225,136,1559.7
howstuffworks,1109,1083,1102,1098.0
hpe,1891,2054,2054,1999.7
hubspot,1409,1456,1409,1424.7
huffpost,2616,2799,2818,2744.3
ibm,921,850,999,923.3
idigmarketing,2011,2011,2097,2039.7
idlewords,1418,1324,1383,1375.0
ieeexplore_ieee_org,1533,1509,,1521.0
ifrc,1233,1126,1249,1202.7
imdb,1377,1366,252,998.3
imdb_article,1230,1105,1161,1165.3
imdb_mobile,1217,1212,1188,1205.7
immanuel_lodge,1948,1849,1840,1879.0
indeed_mobile,1480,1364,1515,1453.0
indiehackers,1718,1872,1984,1858.0
intel,1569,1486,1610,1555.0
investing,1445,1445,1595,1495.0
investing_article,1620,1919,1780,1773.0
investing_mobile,1491,1463,1426,1460.0
investopedia,8186,468,529,3061.0
inwardtravel,1817,1867,1753,1812.3
javaboynation,2977,2897,3164,3012.7
jhatkaa,1678,1484,7787,3649.7
jhatkaa_join,854,787,1990,1210.3
joncookingclass,1304,1236,2048,1529.3
jstor,626,522,662,603.3
kaggle_com,1482,1520,1411,1471.0
ketto,1215,1288,1288,1263.7
khanacademy,2048,,,2048.0
kiva,1175,1100,1247,1174.0
kottke,1124,1050,938,1037.3
krop,1366,1236,1266,1289.3
last_fm,1287,1183,1164,1211.3
launchdarkly,2347,2135,2287,2256.3
leanlabs,1854,1778,1820,1817.3
lek,1564,1398,1661,1541.0
linear,2337,2337,2454,2376.0
linkedin,2710,2617,169,1832.0
lobste,1031,1031,961,1007.7
lonelyplanet,1556,1668,1614,1612.7
lonelyplanet_mobile,1336,1227,1332,1298.3
ma,1245,1053,1199,1165.7
majlislaw,1823,1702,1748,1757.7
markmanson,879,797,858,844.7
masterclass,2160,2069,2048,2092.3
matthewstrom,1574,1472,1650,1565.3
mckinsey,1518,1574,1685,1592.3
medium,2076,1871,1978,1975.0
meetup,1566,1546,1648,1586.7
memberful,2201,2120,1621,1980.7
memberships,860,853,898,870.3
memberstack,2644,2536,2667,2615.7
memorialsnewyork,1373,1300,1445,1372.7
metafilter,1718,1621,1739,1692.7
microsoft,2084,2188,2441,2237.7
milaap,1865,1783,1825,1824.3
miro,1514,1398,1476,1462.7
mit,1685,1506,1728,1639.7
motherteresa,2252,2120,2115,2162.3
mozilla,2047,162,319,842.7
mozilla_article,1430,1287,1279,1332.0
myartindy,1346,1247,1565,1386.0
nasa,1172,1172,1117,1153.7
nationalgeographic,1407,1664,1563,1544.7
nationwide,1837,1755,366,1319.3
nature,1637,1539,1675,1617.0
nav,1055,1052,971,1026.0
ncase,1478,1427,1450,1451.7
neilpatel,2678,2678,477,1944.3
nera,1576,1488,1526,1530.0
netflix,1794,1809,1566,1723.0
newegg,2249,2376,2264,2296.3
newslaundry,1164,1116,1138,1139.3
nike,1476,1372,1413,1420.3
notion,1653,1565,1744,1654.0
npr_mobile,1431,1343,1489,1421.0
nutrime,1550,1475,1624,1549.7
nytimes,1972,1862,1744,1859.3
oakhousedistillery,1880,1799,1611,1763.3
old_reddit_com,1500,1447,1648,1531.7
oliverwyman,1523,1525,1572,1540.0
opencourseware,2277,2258,2202,2245.7
